vте™Ѕ·т‚т<ъИ%яј·т‚т<ъИќј·у‚т<ъИ%яOДюWvтб™Дцiюvтa™цёЄaura2:98||Light:203|

ra2:106||Light:219|

|Temperatura1:-1000.00||Temperatura2:102||Light:211|

|Temperatura1:-1000.00||Temperatura2:98||Light:203|

hello from Arduino 

|Temperatura1:-1000.00||Temperatura2:140||Light:335|

|Temperatura1:-1000.00||Temperatura2:131||Light:275|

|Temperatura1:-1000.00||Temperatura2:123||Light:254|

|Temperatura1:-1000.00||Temperatura2:117||Light:241|

|Temperatura1:-1000.00||Temperatura2:112||Light:232|

|Temperatura1:-1000.00||Temperatura2:107||Light:221|

|Temperatura1:-1000.00||Temperatura2:103||Light:212|

|Temperatura1:-1000.00||Temperatura2:98||Light:203|

|Temperatura1:-1000.00||Temperatura2:95||Light:197|

|Temperatura1:-1000.00||Temperatura2:93||Light:193|

|Temperatura1:-1000.00||Temperatura2:91||Light:189|

|Temperatura1:-1000.00||Temperatura2:89||Light:185|

|Temperatura1:-1000.00||Temperatura2:86||Light:179|

|Temperatura1:-1000.00||Temperatura2:84||Light:175|

|Temperatura1:-1000.00||Temperatura2:83||Light:173|

|Temperatura1:-1000.00||Temperatura2:83||Light:172|

|Temperatura1:-1000.00||Temperatura2:82||Light:169|

|Temperatura1:-1000.00||Temperatura2:82||Light:171|

|Temperatura1:-1000.00||Temperatura2:81||Light:168|

|Temperatura1:-1000.00||Temperatura2:81||Light:168|

|Temperatura1:-1000.00||Temperatura2:81||Light:169|

|Temperatura1:-1000.00||Temperatura2:82||Light:169|

|Temperatura1:-1000.00||Temperatura2:81||Light:168|

|Temperatura1:-1000.00||Temperatura2:81||Light:167|

|Temperatura1:-1000.00||Temperatura2:80||Light:166|

|Temperatura1:-1000.00||Temperatura2:80||Light:166|

|Temperatura1:-1000.00||Temperatura2:81||Light:167|

|Temperatura1:-1000.00||Temperatura2:80||Light:166|

|Temperatura1:-1000.00||Temperatura2:80||Light:166|

|Temperatura1:-1000.00||Temperatura2:79||Light:164|

|Temperatura1:-1000.00||Temperatura2:79||Light:164|

|Temperatura1:-1000.00||Temperatura2:80||Light:165|

|Temperatura1:-1000.00||Temperatura2:80||Light:165|

|Temperatura1:-1000.00||Temperatura2:80||Light:165|

|Temperatura1:-1000.00||Temperatura2:79||Light:163|

